# Filename: $SCRIPT_DIR/un_re/resources/cfg_Enterprise_Naming_Standards.lst
#
# Current Cigna Standard abbreviations and alternate abbreviations.  
# Used by erwin for logical to physical name transformation.  
# This file was overhauled in 2015.  
# Abbreviations and alternates are assigned by the DMCoE.
#
# word                                                                                      | abbr               
# ----------------------------------------------------------------------------------------- | -------------------
prolonged                                                                                   | PROLNG             
promoting                                                                                   | PROM               
promotion                                                                                   | PROMN              
prompting                                                                                   | PRMPT              
propagate                                                                                   | PROPGT             
proposing                                                                                   | PROPS              
proration                                                                                   | PRRTN              
protected                                                                                   | PRTCTD             
prototype                                                                                   | PROTY              
providers                                                                                   | PROVS              
providing                                                                                   | PROV               
provision                                                                                   | PROVSN             
published                                                                                   | PUBSH              
publisher                                                                                   | PUBSHR             
qualified                                                                                   | QUAL               
qualifier                                                                                   | QUALR              
qualifier                                                                                   | QLFR               
quarterly                                                                                   | QTRLY              
radiation                                                                                   | RADTN              
radiology                                                                                   | RADIOLGY           
radiology                                                                                   | RADLGY             
readiness                                                                                   | REDINSS            
reasoning                                                                                   | REASN              
rebatable                                                                                   | RBTBL              
receiving                                                                                   | RECV               
recipient                                                                                   | RECPNT             
recognize                                                                                   | RECGZ              
recommend                                                                                   | RECOMND            
recommend                                                                                   | RCMND              
reconcile                                                                                   | RECON              
recording                                                                                   | RCD                
recovered                                                                                   | RECVR              
recovered                                                                                   | RCV                
recursion                                                                                   | RCURSN             
redeeming                                                                                   | RDEEM              
reduction                                                                                   | RED                
reference                                                                                   | REF                
referrals                                                                                   | REFRL              
referring                                                                                   | REFRG              
regarding                                                                                   | REGD               
regulated                                                                                   | REGLT              
regulator                                                                                   | REGLTR             
reimburse                                                                                   | REIMBRS            
reimburse                                                                                   | REIMBURSE          
reinstate                                                                                   | REINST             
reissuing                                                                                   | REIS               
rejecting                                                                                   | RJCT               
rejection                                                                                   | RJCTN              
releasing                                                                                   | RELS               
religious                                                                                   | RELIG              
remaining                                                                                   | REM                
remarking                                                                                   | RMK                
remediate                                                                                   | REMDT              
reminding                                                                                   | REMND              
reminding                                                                                   | RMNDNG             
remitting                                                                                   | REMIT              
removable                                                                                   | RMVBL              
rendering                                                                                   | RNDR               
repackage                                                                                   | RPKG               
repayment                                                                                   | RPYMT              
repeating                                                                                   | REPT               
replacing                                                                                   | REPL               
reporting                                                                                   | RPT                
repricing                                                                                   | REPRC              
reprocess                                                                                   | REPROCS            
requested                                                                                   | REQ                
requestor                                                                                   | REQSTR             
requestor                                                                                   | REQTR              
requiring                                                                                   | RQR                
reserving                                                                                   | RESV               
residence                                                                                   | RSDNC              
resilient                                                                                   | RESL               
resolving                                                                                   | RESLV              
resonance                                                                                   | RSNANC             
responded                                                                                   | RESPD              
responder                                                                                   | RESPDR             
restoring                                                                                   | RESTR              
resulting                                                                                   | RSLT               
retaining                                                                                   | RTAN               
retention                                                                                   | RET                
retracted                                                                                   | RETRACTD           
retrieval                                                                                   | RETRVL             
retrieved                                                                                   | RTRVD              
returning                                                                                   | RETN               
reversing                                                                                   | REVRS              
reviewing                                                                                   | REVW               
rewarding                                                                                   | RWD                
safeguard                                                                                   | SFGRD              
satellite                                                                                   | STLT               
satisfied                                                                                   | SATSFY             
scheduled                                                                                   | SCHED              
scorecard                                                                                   | SCRCRD             
screening                                                                                   | SCRN               
sculpting                                                                                   | SCLPT              
sculpting                                                                                   | SCLPTG             
searching                                                                                   | SRCH               
secondary                                                                                   | SEC                
secretary                                                                                   | SECRTRY            
sectioned                                                                                   | SECT               
segmented                                                                                   | SEG                
selecting                                                                                   | SELT               
selection                                                                                   | SELTN              
selection                                                                                   | SELN               
sensitive                                                                                   | SENSTV             
separated                                                                                   | SEP                
september                                                                                   | SEP                
sequenced                                                                                   | SEQ                
servicing                                                                                   | SVC                
severance                                                                                   | SEVRNC             
signatory                                                                                   | SIGR               
signature                                                                                   | SIG                
site used                                                                                   | SITUS              
situation                                                                                   | SITUTN             
situation                                                                                   | SITTN              
smart key                                                                                   | SMRTKEY            
socialize                                                                                   | SCLZ               
specialty                                                                                   | SPECLTY            
specialty                                                                                   | SPCLTY             
specified                                                                                   | SPCFY              
spectator                                                                                   | SPECTR             
spillover                                                                                   | SPLOVR             
splitting                                                                                   | SPLT               
stability                                                                                   | STBLTY             
statement                                                                                   | STMT               
statistic                                                                                   | STATC              
statutory                                                                                   | STATRY             
stop loss                                                                                   | STPLS              
strategic                                                                                   | STRAT              
structure                                                                                   | STRUC              
submarket                                                                                   | SUBMRKT            
submitted                                                                                   | SBMT               
submitter                                                                                   | SBMTR              
subregion                                                                                   | SUBREGN            
subscribe                                                                                   | SUBSCRB            
substance                                                                                   | SUBSTNC            
succeeded                                                                                   | SUCDD              
suffixing                                                                                   | SFX                
summarize                                                                                   | SUMZ               
summation                                                                                   | SUMN               
supersede                                                                                   | SUPRSDE            
supersede                                                                                   | SUPR               
supervise                                                                                   | SUPRVS             
supplying                                                                                   | SUPLY              
supported                                                                                   | SUPRT              
supported                                                                                   | SUPTD              
surcharge                                                                                   | SURCHRG            
surfacing                                                                                   | SURFC              
surveying                                                                                   | SRVY               
surveying                                                                                   | SRVYNG             
surviving                                                                                   | SURV               
surviving                                                                                   | SURVG              
suspected                                                                                   | SUSPCT             
suspended                                                                                   | SUSPND             
suspended                                                                                   | SUSPD              
synthetic                                                                                   | SYNTHTC            
targeting                                                                                   | TRGT               
targeting                                                                                   | TRGTG              
tax based                                                                                   | TXBSD              
technical                                                                                   | TCHNCL             
technical                                                                                   | TECHL              
technique                                                                                   | TCHNQ              
telephone                                                                                   | TEL                
temporary                                                                                   | TEMP               
temporary                                                                                   | TMP                
tennessee                                                                                   | TN                 
territory                                                                                   | TERRTRY            
territory                                                                                   | TRRTRY             
theracare                                                                                   | THRX               
threshold                                                                                   | THRSHLD            
time unit                                                                                   | TU                 
time zone                                                                                   | TZ                 
timeframe                                                                                   | TMFRM              
timestamp                                                                                   | TS                 
timestamp                                                                                   | TMSTP              
tokenized                                                                                   | TKNZ               
tolerance                                                                                   | TOLRNCE            
tolerance                                                                                   | TLRNC              
tradition                                                                                   | TRDTN              
transform                                                                                   | TRNSFRM            
transient                                                                                   | TRNSNT             
translate                                                                                   | TRNSLT             
transport                                                                                   | TRNSPRT            
treatment                                                                                   | TRTMT              
triggered                                                                                   | TRGGR              
trimester                                                                                   | TRMSTR             
unaudited                                                                                   | UNAUD              
uncertain                                                                                   | UNCRTN             
underwear                                                                                   | UNDWR              
unhandled                                                                                   | UNHNDL             
unhandled                                                                                   | UNHDLD             
uninstall                                                                                   | UNINSTL            
uninstall                                                                                   | UNNSTL             
universal                                                                                   | UNVRSL             
unlimited                                                                                   | UNLMT              
unmatched                                                                                   | UNMTCH             
utilizing                                                                                   | UTLZ               
validated                                                                                   | VALDT              
validator                                                                                   | VALDTR             
valuation                                                                                   | VALTN              
value add                                                                                   | VAL_ADD            
variation                                                                                   | VRTN               
verifying                                                                                   | VRFY               
verifying                                                                                   | VRFNG              
versioned                                                                                   | VRSN               
violating                                                                                   | VLT                
violation                                                                                   | VLTN               
voluntary                                                                                   | VLNTRY             
volunteer                                                                                   | VLNTR              
waivering                                                                                   | WAIVR              
waivering                                                                                   | WVRNG              
warehouse                                                                                   | WRHSE              
warehouse                                                                                   | WH                 
waterfall                                                                                   | WTRFL              
wednesday                                                                                   | WED                
wholesale                                                                                   | WHSL               
withdrawn                                                                                   | WTHDRN             
work flow                                                                                   | WRKFLW             
workplace                                                                                   | WRKPLC             
write off                                                                                   | WRTOFF             
abnormal                                                                                    | ABNRL              
aborting                                                                                    | ABRT               
abortion                                                                                    | ABORTN             
abridged                                                                                    | ABR                
abstract                                                                                    | ABSTR              
accepted                                                                                    | ACCPT              
accessed                                                                                    | ACCSS              
accident                                                                                    | ACC                
accounts                                                                                    | ACCT               
accuracy                                                                                    | ACRCY              
achieved                                                                                    | ACHEVD             
acquired                                                                                    | ACQR               
activate                                                                                    | ACTVT              
actively                                                                                    | ACTVLY             
activity                                                                                    | ACTY               
addendum                                                                                    | ADDNDUM            
addition                                                                                    | ADDN               
adequacy                                                                                    | ADQC               
adjusted                                                                                    | ADJ                
adjuster                                                                                    | ADJR               
admitted                                                                                    | ADMT               
adoption                                                                                    | ADPTN              
advanced                                                                                    | ADV                
advising                                                                                    | ADVS               
advisory                                                                                    | ADVSRY             
advocacy                                                                                    | ADVCY              
advocate                                                                                    | ADVCT              
affinity                                                                                    | AFF                
agreeing                                                                                    | AGR                
allergen                                                                                    | ALRGN              
alliance                                                                                    | ALLNC              
allocate                                                                                    | ALLOC              
allowing                                                                                    | ALW                
altering                                                                                    | ALTER              
ambulate                                                                                    | AMBLT              
american                                                                                    | AMER               
amortize                                                                                    | AMORT              
analysis                                                                                    | ANAL               
analytic                                                                                    | ANLTC              
analyzed                                                                                    | ANLZ               
announce                                                                                    | ANNOUNC            
answered                                                                                    | ANS                
antiques                                                                                    | ANTQ               
appealed                                                                                    | APPEALD            
appeared                                                                                    | APPR               
applying                                                                                    | APPLY              
approach                                                                                    | APPRCH             
approval                                                                                    | APPRVL             
approval                                                                                    | APRVL              
approved                                                                                    | APPRV              
approver                                                                                    | APPRVR             
archived                                                                                    | ARCHV              
archived                                                                                    | ARC                
argument                                                                                    | ARGMT              
arkansas                                                                                    | AR                 
arkansas                                                                                    | ARK                
arranged                                                                                    | ARNG               
asserted                                                                                    | ASERTD             
asserter                                                                                    | ASSERTR            
assessed                                                                                    | ASS                
assessed                                                                                    | ASSESS             
assigned                                                                                    | ASGN               
assignee                                                                                    | ASGNEE             
assigner                                                                                    | ASGNR              
assisted                                                                                    | ASST               
assuming                                                                                    | ASSM               
attained                                                                                    | ATTN               
attempts                                                                                    | ATMPT              
attended                                                                                    | ATTNDED            
attorney                                                                                    | ATTRNY             
atypical                                                                                    | ATPCL              
audience                                                                                    | AUDNC              
auditing                                                                                    | AUD                
automate                                                                                    | AUTO               
averaged                                                                                    | AVG                
avoiding                                                                                    | AVD                
awaiting                                                                                    | AWTNG              
balanced                                                                                    | BAL                
baseline                                                                                    | BSLN               
baseline                                                                                    | BL                 
behavior                                                                                    | BEHVR              
benefits                                                                                    | BEN                
beverage                                                                                    | BVRG               
billable                                                                                    | BILLBL             
blocking                                                                                    | BLK                
boarding                                                                                    | BRD                
boundary                                                                                    | BNDRY              
branding                                                                                    | BRND               
breakage                                                                                    | BRKAGE             
brighter                                                                                    | BRGHTR             
brochure                                                                                    | BRCHR              
brownies                                                                                    | BRWN               
budgeted                                                                                    | BUDGT              
building                                                                                    | BLDG               
bundling                                                                                    | BNDL               
business                                                                                    | BUS                
calendar                                                                                    | CAL                
campaign                                                                                    | CMPGN              
canceled                                                                                    | CAN                
capacity                                                                                    | CPCTY              
capitate                                                                                    | CAP                
carveout                                                                                    | CRVOUT             
category                                                                                    | CTGRY              
category                                                                                    | CAT                
cellular                                                                                    | CELL               
cervical                                                                                    | CRVCL              
changing                                                                                    | CHG                
charging                                                                                    | CHRG               
checking                                                                                    | CHK                
checkout                                                                                    | CHKOUT             
chemical                                                                                    | CHEM               
children                                                                                    | CHLDRN             
citation                                                                                    | CITATN             
citibank                                                                                    | CB                 
claimant                                                                                    | CLMNT              
claiming                                                                                    | CLM                
classing                                                                                    | CLSS               
cleansed                                                                                    | CLNSD              
clinical                                                                                    | CLNCL              
coaching                                                                                    | COACH              
colorado                                                                                    | CO                 
colorado                                                                                    | COLO               
combined                                                                                    | COMB               
commuter                                                                                    | COMUTR             
complain                                                                                    | CMPLN              
complete                                                                                    | CMPLT              
complete                                                                                    | CMP                
compound                                                                                    | CMPD               
compress                                                                                    | COMPRS             
computed                                                                                    | CMPT               
conflict                                                                                    | CFLCT              
consider                                                                                    | CONSDR             
constant                                                                                    | CONST              
consumer                                                                                    | CONSMR             
contents                                                                                    | CNTNT              
continue                                                                                    | CONT               
contract                                                                                    | CNTRCT             
contrive                                                                                    | CNTRV              
corridor                                                                                    | CORRIDOR           
counseld                                                                                    | CNSL               
counting                                                                                    | CNT                
courtesy                                                                                    | CRTSY              
coverage                                                                                    | CVRG               
coverage                                                                                    | CV                 
covering                                                                                    | CVR                
creating                                                                                    | CRET               
creation                                                                                    | CRETN              
creation                                                                                    | CRTN               
credible                                                                                    | CREDBL             
credited                                                                                    | CRDT               
creditor                                                                                    | CRDTR              
criteria                                                                                    | CRITR              
critical                                                                                    | CRITCL             
currency                                                                                    | CRNCY              
customer                                                                                    | CUST               
database                                                                                    | DB                 
datamart                                                                                    | DM                 
datatype                                                                                    | DTTY               
deadline                                                                                    | DEADLN             
deceased                                                                                    | DECSD              
december                                                                                    | DECBR              
december                                                                                    | DEC                
decision                                                                                    | DECSN              
decision                                                                                    | DCSN               
declared                                                                                    | DEC                
declined                                                                                    | DECLN              
decrease                                                                                    | DECR               
dedicate                                                                                    | DEDCT              
deepview                                                                                    | DEEPVIEW           
deferred                                                                                    | DEFR               
defining                                                                                    | DEF                
delaware                                                                                    | DE                 
delaware                                                                                    | DEL                
delegate                                                                                    | DELGT              
deleting                                                                                    | DEL                
delisted                                                                                    | DLISTD             
